Country or Area,Year,"Undata Carbon Dioxide (Co2) Emissions Without Land Use, Land-Use Change And Forestry (Lulucf), In Kilotonne Co2 Equivalent","Undata Greenhouse Gas (Ghgs) Emissions Without Land Use, Land-Use Change And Forestry (Lulucf), In Kilotonne Co2 Equivalent","Undata Greenhouse Gas (Ghgs) Emissions, Including Indirect Co2, Without Lulucf, In Kilotonne Co2 Equivalent ","Undata Hydrofluorocarbons (Hfcs) Emissions, In Kilotonne Co2 Equivalent","Undata Methane (Ch4) Emissions Without Land Use, Land-Use Change And Forestry (Lulucf), In Kilotonne Co2 Equivalent","Undata Nitrogen Trifluoride (Nf3) Emissions, In Kilotonne Co2 Equivalent ","Undata Nitrous Oxide (N2O) Emissions Without Land Use, Land-Use Change And Forestry (Lulucf), In Kilotonne Co2 Equivalent","Undata Perfluorocarbons (Pfcs) Emissions, In Kilotonne Co2 Equivalent","Undata Sulphur Hexafluoride (Sf6) Emissions, In Kilotonne Co2 Equivalent","Undata Unspecified Mix Of Hydrofluorocarbons (Hfcs) And Perfluorocarbons (Pfcs) Emissions, In Kilotonne Co2 Equivalent "
Iceland,1993,2400.94000805432,3496.41584324627,,1.43536060187,728.144562542616,,285.262557227033,79.351429820436,1.281925,
Ireland,1993,33716.3644975894,57186.8259201144,,6.51653993513589,16959.0969491057,,6414.80357723131,35.516046,54.52831025283,
Italy,1993,431176.399717687,515159.964930613,,479.022282619444,56087.9828089079,,25455.8787594809,1502.75461912221,457.926742795815,
Japan,1993,1171686.69524432,1291392.13934654,1296183.46680024,18134.5944750891,42911.7176163689,43.47980515592,31959.1926163006,10954.489018844,15701.9705704626,
Latvia,1993,11922.7564717637,15905.3481286229,15938.9516161131,,2648.44581984401,,1334.14583701514,,,
Liechtenstein,1993,215.03442023538,244.352756588664,,0.1465914427783,20.0170123742212,,9.1542108189228,0.00052171736205,,
Lithuania,1993,16319.7130605194,24901.7829625079,24936.6856081389,0.026132208,5805.95331677745,,2776.09045300302,,,
Luxembourg,1993,12351.9077571277,13281.3498804628,,11.7640888116693,677.897998495124,,238.558279457044,,1.221756571255,
Malta,1993,2885.58767070802,3115.8056708816,,,164.9051255321,,63.8421036414789,,1.470771,
Monaco,1993,103.318137329611,108.107957890453,108.33751240227,0.30891842009791,1.58408825936825,,2.80781437572362,,0.088999505652,
Netherlands (Kingdom of the),1993,170863.253350724,230464.253386901,231234.052140639,5295.16282,35221.0934840809,,16750.0708685459,2190.12436355063,144.5485,
New Zealand,1993,27760.9548937271,66693.8261003733,,0.46618,32671.84556299,,6027.70990865624,210.157,22.692555,
Norway,1993,35164.8505149991,48598.6847191558,49378.4493346858,32.5627913980398,7087.27779985663,,3209.51297577857,2379.111842163,725.36879496046,
Poland,1993,365174.878927444,450937.342382736,451322.722361964,,62905.3780362954,,22726.9298050163,130.15561398,,
Portugal,1993,49434.0301320801,63745.4688583372,63826.026290841,,10993.9141097441,,3317.52461651296,,,
Romania,1993,122693.801422133,184393.865269652,,0.68839537430221,45617.508631244,,14396.0237814293,1685.3571072,0.485932271265,
Russian Federation,1993,1866729.11307301,2385612.00328247,,18278.4100904389,377175.593257316,,108643.397980369,14334.442235201,451.04664613728,
Slovakia,1993,46351.1689500733,55242.8819182157,55327.1326483009,,6687.5555417442,,2041.96452239821,162.100314,0.09259,
Slovenia,1993,14246.2241882409,17667.8157821615,,28.5565124,2622.66020534437,,644.213880434474,115.296945741734,10.86405,
Spain,1993,240046.063131534,294733.412806076,,2393.2000039432,39949.1152767671,,11308.8705131593,957.844490602229,78.3193900705,
Sweden,1993,57560.8642914558,71468.0740118761,,28.3481490637827,8402.99842996636,,4966.36317236147,407.102702541127,102.397266487505,
Switzerland,1993,43605.8197997418,53980.3116570706,54327.1891736438,30.7471252094434,6246.58413639192,,3941.62150594195,31.3036175560567,124.235472229425,
Türkiye,1993,171138.874534575,240771.746498458,,,43065.5401742494,,26048.2871428275,519.0446468064,,
Ukraine,1993,510320.379047678,711081.213440434,,,158689.729062666,,41927.480011187,143.566172459793,0.059146443528,
United Kingdom,1993,581571.284778773,775932.799416569,,13764.6857282083,144399.804472036,0.182566625234,34460.0287544748,538.700846476154,1198.11226997547,
United States of America,1993,5272850.80825057,6639525.50480579,,40266.4305147853,863427.392311813,56.071029667415,415889.022516377,17546.6022095745,28943.7176136047,545.4603594
Australia,1994,293696.553098945,430848.497956106,,1028.12333203718,117269.416880507,,16394.369542561,2164.42874878371,295.606353272172,
Austria,1994,61066.6430199573,76725.9665608623,,236.910223177867,10605.3993077022,0.71001,3797.62055885052,64.074753,954.608688174315,
Belarus,1994,67879.3995021816,96343.448117064,,,16793.3088406692,,11670.7397742132,,,
Belgium,1994,124796.749390273,151445.446044434,,387.825606878927,12582.3517358113,,9189.1077607024,2451.72534,2037.68621076771,
Bulgaria,1994,56367.0385893474,70605.2650636512,70669.1974823073,0.99706864828493,9834.01328949902,,4398.4456294671,,4.770486689365,
Canada,1994,479033.003001451,621934.1289438,,,96100.9775585294,0.289772298724,37463.1037575603,6895.01454213527,2441.74031182459,
Croatia,1994,16049.8054258058,22015.0236729328,,,3861.30032681661,,2091.9626243104,,11.955296,
Cyprus,1994,5991.49267633179,7057.36649007575,7062.52049007575,26.2749430913806,861.384248328841,,172.925338460125,,5.289283863615,
Czechia,1994,132668.035665436,159410.637890244,160994.996193535,,21514.8812081802,,5137.36759437253,,90.353422255795,
Denmark,1994,65704.4892791831,82598.7710340317,83681.1998029034,144.51125729775,9588.14839828604,,7039.81835507737,0.06675,121.7369941875,
Estonia,1994,20045.0860811687,22225.0227331957,,21.034340287984,1457.80145934946,,698.042058608309,,3.05879378125,
European Union,1994,3595411.69797599,4503905.85796281,4509714.05572418,18425.4711674068,594503.832159852,29.736495090953,262078.41590527,15377.494427589,13250.211754606,4828.998077
Finland,1994,61732.6645060394,75492.4106542001,75635.1548480631,80.7565924837938,8557.79561311247,,5095.78997138462,0.81038820378124,24.593582976065,
France,1994,389176.335097612,528083.795897651,529594.423219373,1546.51491802312,80323.5675934525,22.586485090953,50593.702443244,3898.60479349668,2522.48456673185,
Germany,1994,943184.836504026,1127792.57077543,,2445.62113384881,118428.746818463,6.44,50729.8800405433,1726.958073717,6441.090127835,4828.998077
Greece,1994,86430.2584258489,107457.57758008,,2272.3218756,12714.4069302859,,5973.97332034565,63.226683,3.390345,
Hungary,1994,61888.9938012172,78750.644007864,,27.9406277028512,11636.2715410927,,4967.55042856954,190.581962881306,39.305646400415,
Iceland,1994,2349.66443026176,3424.41018457853,,1.84891720435,734.082721692899,,290.29045292811,47.241737491419,1.281925,
Ireland,1994,34838.4467356311,58593.6241221463,,18.2368241050021,16973.742964239,,6646.12500368766,53.219724,63.852870483505,
Italy,1994,425428.212581864,509371.387854621,,588.898197306969,56518.4749222122,,25055.0839676415,1278.22943804725,502.48874754895,
Japan,1994,1226702.22499061,1352429.76055218,1357211.62500886,21057.2267491857,42944.6803234063,76.08965902286,33174.4066956759,13455.1763455145,15019.955788766,
Latvia,1994,10371.2390270897,13958.2962957643,13991.2934954762,,2456.00534843786,,1131.05192023676,,,
Liechtenstein,1994,201.111090326121,230.680294148763,,0.35904257438202,20.0861989775345,,9.12295723207145,0.00100503865417,,
Lithuania,1994,15767.0422501045,23515.737162317,23550.7085535395,0.088520076,5269.74029634985,,2478.86609578674,,,
Luxembourg,1994,11542.8508710559,12447.6303786546,,12.9122161673956,654.279648293769,,236.251531807973,,1.33611132961,
Malta,1994,2658.34480665995,2894.13378951766,,0.000858,170.94796500628,,63.3648063514223,,1.4753535,
Monaco,1994,104.128246426441,108.802697060783,109.039253685113,0.3731735725067,1.33442855421,,2.87765276716212,,0.089195740464,
